trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,departure_buffer
NB_winter2025_Fri_1805,SC,18:08:00,18:08:00,0,2,0
NB_winter2025_Fri_1815,WL,18:15:00,18:15:00,0,1,0
NB_winter2025_Fri_1815,SC,18:18:00,18:18:00,0,2,0
NB_winter2025_Fri_1825,WL,18:25:00,18:25:00,0,1,0
NB_winter2025_Fri_1825,SC,18:28:00,18:28:00,0,2,0
NB_winter2025_Fri_1835,WL,18:35:00,18:35:00,0,1,0
NB_winter2025_Fri_1835,SC,18:38:00,18:38:00,0,2,0
NB_winter2025_Fri_1845,WL,18:45:00,18:45:00,0,1,0
NB_winter2025_Fri_1845,SC,18:48:00,18:48:00,0,2,0
NB_winter2025_Fri_1855,WL,18:55:00,18:55:00,0,1,0
NB_winter2025_Fri_1855,SC,18:58:00,18:58:00,0,2,0
NB_winter2025_Fri_1905,WL,19:05:00,19:05:00,0,1,0
NB_winter2025_Fri_1905,SC,19:08:00,19:08:00,0,2,0
NB_winter2025_Fri_1915,WL,19:15:00,19:15:00,0,1,0
NB_winter2025_Fri_1915,SC,19:18:00,19:18:00,0,2,0
NB_winter2025_Fri_1925,WL,19:25:00,19:25:00,0,1,0
NB_winter2025_Fri_1925,SC,19:28:00,19:28:00,0,2,0
NB_winter2025_Fri_1935,WL,19:35:00,19:35:00,0,1,0
NB_winter2025_Fri_1935,SC,19:38:00,19:38:00,0,2,0
NB_winter2025_Fri_1945,WL,19:45:00,19:45:00,0,1,0
NB_winter2025_Fri_1945,SC,19:48:00,19:48:00,0,2,0
NB_winter2025_Fri_1955,WL,19:55:00,19:55:00,0,1,0
NB_winter2025_Fri_1955,SC,19:58:00,19:58:00,0,2,0
NB_winter2025_Fri_2005,WL,20:05:00,20:05:00,0,1,0
NB_winter2025_Fri_2005,SC,20:08:00,20:08:00,0,2,0
NB_winter2025_Fri_2015,WL,20:15:00,20:15:00,0,1,0
NB_winter2025_Fri_2015,SC,20:18:00,20:18:00,0,2,0
NB_winter2025_Fri_2025,WL,20:25:00,20:25:00,0,1,0
NB_winter2025_Fri_2025,SC,20:28:00,20:28:00,0,2,0
NB_winter2025_Fri_2035,WL,20:35:00,20:35:00,0,1,0
NB_winter2025_Fri_2035,SC,20:38:00,20:38:00,0,2,0
NB_winter2025_Fri_2045,WL,20:45:00,20:45:00,0,1,0
NB_winter2025_Fri_2045,SC,20:48:00,20:48:00,0,2,0
NB_winter2025_Fri_2055,WL,20:55:00,20:55:00,0,1,0
NB_winter2025_Fri_2055,SC,20:58:00,20:58:00,0,2,0
NB_winter2025_Fri_2105,WL,21:05:00,21:05:00,0,1,0
NB_winter2025_Fri_2105,SC,21:08:00,21:08:00,0,2,0
NB_winter2025_Fri_2115,WL,21:15:00,21:15:00,0,1,0
NB_winter2025_Fri_2115,SC,21:18:00,21:18:00,0,2,0
NB_winter2025_Fri_2125,WL,21:25:00,21:25:00,0,1,0
NB_winter2025_Fri_2125,SC,21:28:00,21:28:00,0,2,0
NB_winter2025_Fri_2135,WL,21:35:00,21:35:00,0,1,0
NB_winter2025_Fri_2135,SC,21:38:00,21:38:00,0,2,0
NB_winter2025_Fri_2145,WL,21:45:00,21:45:00,0,1,0
NB_winter2025_Fri_2145,SC,21:48:00,21:48:00,0,2,0
NB_winter2025_Fri_2155,WL,21:55:00,21:55:00,0,1,0
NB_winter2025_Fri_2155,SC,21:58:00,21:58:00,0,2,0
NB_winter2025_Fri_2205,WL,22:05:00,22:05:00,0,1,0
NB_winter2025_Fri_2205,SC,22:08:00,22:08:00,0,2,0
NB_winter2025_Fri_2215,WL,22:15:00,22:15:00,0,1,0
NB_winter2025_Fri_2215,SC,22:18:00,22:18:00,0,2,0
NB_winter2025_Fri_2225,WL,22:25:00,22:25:00,0,1,0
NB_winter2025_Fri_2225,SC,22:28:00,22:28:00,0,2,0
NB_winter2025_Fri_2235,WL,22:35:00,22:35:00,0,1,0
NB_winter2025_Fri_2235,SC,22:38:00,22:38:00,0,2,0
NB_winter2025_Fri_2245,WL,22:45:00,22:45:00,0,1,0
NB_winter2025_Fri_2245,SC,22:48:00,22:48:00,0,2,0
NB_winter2025_Fri_2255,WL,22:55:00,22:55:00,0,1,0
NB_winter2025_Fri_2255,SC,22:58:00,22:58:00,0,2,0
NB_winter2025_Fri_2305,WL,23:05:00,23:05:00,0,1,0
NB_winter2025_Fri_2305,SC,23:08:00,23:08:00,0,2,0
NB_winter2025_MonThu_0735,WL,07:35:00,07:35:00,0,1,0
NB_winter2025_MonThu_0735,SC,07:38:00,07:38:00,0,2,0
NB_winter2025_MonThu_0745,WL,07:45:00,07:45:00,0,1,0
NB_winter2025_MonThu_0745,SC,07:48:00,07:48:00,0,2,0
NB_winter2025_MonThu_0755,WL,07:55:00,07:55:00,0,1,0
NB_winter2025_MonThu_0755,SC,07:58:00,07:58:00,0,2,0
NB_winter2025_MonThu_0805,WL,08:05:00,08:05:00,0,1,0
NB_winter2025_MonThu_0805,SC,08:08:00,08:08:00,0,2,0
NB_winter2025_MonThu_0815,WL,08:15:00,08:15:00,0,1,0
NB_winter2025_MonThu_0815,SC,08:18:00,08:18:00,0,2,0
NB_winter2025_MonThu_0825,WL,08:25:00,08:25:00,0,1,0
NB_winter2025_MonThu_0825,SC,08:28:00,08:28:00,0,2,0
NB_winter2025_MonThu_0835,WL,08:35:00,08:35:00,0,1,0
NB_winter2025_MonThu_0835,SC,08:38:00,08:38:00,0,2,0
NB_winter2025_MonThu_0845,WL,08:45:00,08:45:00,0,1,0
NB_winter2025_MonThu_0845,SC,08:48:00,08:48:00,0,2,0
NB_winter2025_MonThu_0855,WL,08:55:00,08:55:00,0,1,0
NB_winter2025_MonThu_0855,SC,08:58:00,08:58:00,0,2,0
NB_winter2025_MonThu_0905,WL,09:05:00,09:05:00,0,1,0
NB_winter2025_MonThu_0905,SC,09:08:00,09:08:00,0,2,0
NB_winter2025_MonThu_0915,WL,09:15:00,09:15:00,0,1,0
NB_winter2025_MonThu_0915,SC,09:18:00,09:18:00,0,2,0
NB_winter2025_MonThu_0925,WL,09:25:00,09:25:00,0,1,0
NB_winter2025_MonThu_0925,SC,09:28:00,09:28:00,0,2,0
NB_winter2025_MonThu_0935,WL,09:35:00,09:35:00,0,1,0
NB_winter2025_MonThu_0935,SC,09:38:00,09:38:00,0,2,0
NB_winter2025_MonThu_0945,WL,09:45:00,09:45:00,0,1,0
NB_winter2025_MonThu_0945,SC,09:48:00,09:48:00,0,2,0
NB_winter2025_MonThu_0955,WL,09:55:00,09:55:00,0,1,0
NB_winter2025_MonThu_0955,SC,09:58:00,09:58:00,0,2,0
NB_winter2025_MonThu_1005,WL,10:05:00,10:05:00,0,1,0
NB_winter2025_MonThu_1005,SC,10:08:00,10:08:00,0,2,0
NB_winter2025_MonThu_1015,WL,10:15:00,10:15:00,0,1,0
NB_winter2025_MonThu_1015,SC,10:18:00,10:18:00,0,2,0
NB_winter2025_MonThu_1025,WL,10:25:00,10:25:00,0,1,0
NB_winter2025_MonThu_1025,SC,10:28:00,10:28:00,0,2,0
NB_winter2025_MonThu_1035,WL,10:35:00,10:35:00,0,1,0
NB_winter2025_MonThu_1035,SC,10:38:00,10:38:00,0,2,0
NB_winter2025_MonThu_1045,WL,10:45:00,10:45:00,0,1,0
NB_winter2025_MonThu_1045,SC,10:48:00,10:48:00,0,2,0
NB_winter2025_MonThu_1055,WL,10:55:00,10:55:00,0,1,0
NB_winter2025_MonThu_1055,SC,10:58:00,10:58:00,0,2,0
NB_winter2025_MonThu_1105,WL,11:05:00,11:05:00,0,1,0
NB_winter2025_MonThu_1105,SC,11:08:00,11:08:00,0,2,0
NB_winter2025_MonThu_1115,WL,11:15:00,11:15:00,0,1,0
NB_winter2025_MonThu_1115,SC,11:18:00,11:18:00,0,2,0
NB_winter2025_MonThu_1125,WL,11:25:00,11:25:00,0,1,0
NB_winter2025_MonThu_1125,SC,11:28:00,11:28:00,0,2,0
NB_winter2025_MonThu_1135,WL,11:35:00,11:35:00,0,1,0
NB_winter2025_MonThu_1135,SC,11:38:00,11:38:00,0,2,0
NB_winter2025_MonThu_1145,WL,11:45:00,11:45:00,0,1,0
NB_winter2025_MonThu_1145,SC,11:48:00,11:48:00,0,2,0
NB_winter2025_MonThu_1155,WL,11:55:00,11:55:00,0,1,0
NB_winter2025_MonThu_1155,SC,11:58:00,11:58:00,0,2,0
NB_winter2025_MonThu_1205,WL,12:05:00,12:05:00,0,1,0
NB_winter2025_MonThu_1205,SC,12:08:00,12:08:00,0,2,0
NB_winter2025_MonThu_1215,WL,12:15:00,12:15:00,0,1,0
NB_winter2025_MonThu_1215,SC,12:18:00,12:18:00,0,2,0
NB_winter2025_MonThu_1225,WL,12:25:00,12:25:00,0,1,0
NB_winter2025_MonThu_1225,SC,12:28:00,12:28:00,0,2,0
NB_winter2025_MonThu_1235,WL,12:35:00,12:35:00,0,1,0
NB_winter2025_MonThu_1235,SC,12:38:00,12:38:00,0,2,0
NB_winter2025_MonThu_1245,WL,12:45:00,12:45:00,0,1,0
NB_winter2025_MonThu_1245,SC,12:48:00,12:48:00,0,2,0
NB_winter2025_MonThu_1255,WL,12:55:00,12:55:00,0,1,0
NB_winter2025_MonThu_1255,SC,12:58:00,12:58:00,0,2,0
NB_winter2025_MonThu_1305,WL,13:05:00,13:05:00,0,1,0
NB_winter2025_MonThu_1305,SC,13:08:00,13:08:00,0,2,0
NB_winter2025_MonThu_1315,WL,13:15:00,13:15:00,0,1,0
NB_winter2025_MonThu_1315,SC,13:18:00,13:18:00,0,2,0
NB_winter2025_MonThu_1325,WL,13:25:00,13:25:00,0,1,0
NB_winter2025_MonThu_1325,SC,13:28:00,13:28:00,0,2,0
NB_winter2025_MonThu_1335,WL,13:35:00,13:35:00,0,1,0
NB_winter2025_MonThu_1335,SC,13:38:00,13:38:00,0,2,0
NB_winter2025_MonThu_1345,WL,13:45:00,13:45:00,0,1,0
NB_winter2025_MonThu_1345,SC,13:48:00,13:48:00,0,2,0
NB_winter2025_MonThu_1355,WL,13:55:00,13:55:00,0,1,0
NB_winter2025_MonThu_1355,SC,13:58:00,13:58:00,0,2,0
NB_winter2025_MonThu_1405,WL,14:05:00,14:05:00,0,1,0
NB_winter2025_MonThu_1405,SC,14:08:00,14:08:00,0,2,0
NB_winter2025_MonThu_1415,WL,14:15:00,14:15:00,0,1,0
NB_winter2025_MonThu_1415,SC,14:18:00,14:18:00,0,2,0
NB_winter2025_MonThu_1425,WL,14:25:00,14:25:00,0,1,0
NB_winter2025_MonThu_1425,SC,14:28:00,14:28:00,0,2,0
NB_winter2025_MonThu_1435,WL,14:35:00,14:35:00,0,1,0
NB_winter2025_MonThu_1435,SC,14:38:00,14:38:00,0,2,0
NB_winter2025_MonThu_1445,WL,14:45:00,14:45:00,0,1,0
NB_winter2025_MonThu_1445,SC,14:48:00,14:48:00,0,2,0
NB_winter2025_MonThu_1455,WL,14:55:00,14:55:00,0,1,0
NB_winter2025_MonThu_1455,SC,14:58:00,14:58:00,0,2,0
NB_winter2025_MonThu_1505,WL,15:05:00,15:05:00,0,1,0
NB_winter2025_MonThu_1505,SC,15:08:00,15:08:00,0,2,0
NB_winter2025_MonThu_1515,WL,15:15:00,15:15:00,0,1,0
NB_winter2025_MonThu_1515,SC,15:18:00,15:18:00,0,2,0
NB_winter2025_MonThu_1525,WL,15:25:00,15:25:00,0,1,0
NB_winter2025_MonThu_1525,SC,15:28:00,15:28:00,0,2,0
NB_winter2025_MonThu_1535,WL,15:35:00,15:35:00,0,1,0
NB_winter2025_MonThu_1535,SC,15:38:00,15:38:00,0,2,0
NB_winter2025_MonThu_1545,WL,15:45:00,15:45:00,0,1,0
NB_winter2025_MonThu_1545,SC,15:48:00,15:48:00,0,2,0
NB_winter2025_MonThu_1555,WL,15:55:00,15:55:00,0,1,0
NB_winter2025_MonThu_1555,SC,15:58:00,15:58:00,0,2,0
NB_winter2025_MonThu_1605,WL,16:05:00,16:05:00,0,1,0
NB_winter2025_MonThu_1605,SC,16:08:00,16:08:00,0,2,0
NB_winter2025_MonThu_1615,WL,16:15:00,16:15:00,0,1,0
NB_winter2025_MonThu_1615,SC,16:18:00,16:18:00,0,2,0
NB_winter2025_MonThu_1625,WL,16:25:00,16:25:00,0,1,0
NB_winter2025_MonThu_1625,SC,16:28:00,16:28:00,0,2,0
NB_winter2025_MonThu_1635,WL,16:35:00,16:35:00,0,1,0
NB_winter2025_MonThu_1635,SC,16:38:00,16:38:00,0,2,0
NB_winter2025_MonThu_1645,WL,16:45:00,16:45:00,0,1,0
NB_winter2025_MonThu_1645,SC,16:48:00,16:48:00,0,2,0
NB_winter2025_MonThu_1655,WL,16:55:00,16:55:00,0,1,0
NB_winter2025_MonThu_1655,SC,16:58:00,16:58:00,0,2,0
NB_winter2025_MonThu_1705,WL,17:05:00,17:05:00,0,1,0
NB_winter2025_MonThu_1705,SC,17:08:00,17:08:00,0,2,0
NB_winter2025_MonThu_1715,WL,17:15:00,17:15:00,0,1,0
NB_winter2025_MonThu_1715,SC,17:18:00,17:18:00,0,2,0
NB_winter2025_MonThu_1725,WL,17:25:00,17:25:00,0,1,0
NB_winter2025_MonThu_1725,SC,17:28:00,17:28:00,0,2,0
NB_winter2025_MonThu_1735,WL,17:35:00,17:35:00,0,1,0
NB_winter2025_MonThu_1735,SC,17:38:00,17:38:00,0,2,0
NB_winter2025_MonThu_1745,WL,17:45:00,17:45:00,0,1,0
NB_winter2025_MonThu_1745,SC,17:48:00,17:48:00,0,2,0
NB_winter2025_MonThu_1755,WL,17:55:00,17:55:00,0,1,0
NB_winter2025_MonThu_1755,SC,17:58:00,17:58:00,0,2,0
NB_winter2025_MonThu_1805,WL,18:05:00,18:05:00,0,1,0
NB_winter2025_MonThu_1805,SC,18:08:00,18:08:00,0,2,0
NB_winter2025_MonThu_1815,WL,18:15:00,18:15:00,0,1,0
NB_winter2025_MonThu_1815,SC,18:18:00,18:18:00,0,2,0
NB_winter2025_MonThu_1825,WL,18:25:00,18:25:00,0,1,0
NB_winter2025_MonThu_1825,SC,18:28:00,18:28:00,0,2,0
NB_winter2025_MonThu_1835,WL,18:35:00,18:35:00,0,1,0
NB_winter2025_MonThu_1835,SC,18:38:00,18:38:00,0,2,0
NB_winter2025_MonThu_1845,WL,18:45:00,18:45:00,0,1,0
NB_winter2025_MonThu_1845,SC,18:48:00,18:48:00,0,2,0
NB_winter2025_MonThu_1855,WL,18:55:00,18:55:00,0,1,0
NB_winter2025_MonThu_1855,SC,18:58:00,18:58:00,0,2,0
NB_winter2025_MonThu_1905,WL,19:05:00,19:05:00,0,1,0
NB_winter2025_MonThu_1905,SC,19:08:00,19:08:00,0,2,0
NB_winter2025_MonThu_1915,WL,19:15:00,19:15:00,0,1,0
NB_winter2025_MonThu_1915,SC,19:18:00,19:18:00,0,2,0
NB_winter2025_MonThu_1925,WL,19:25:00,19:25:00,0,1,0
NB_winter2025_MonThu_1925,SC,19:28:00,19:28:00,0,2,0
NB_winter2025_MonThu_1935,WL,19:35:00,19:35:00,0,1,0
NB_winter2025_MonThu_1935,SC,19:38:00,19:38:00,0,2,0
NB_winter2025_MonThu_1945,WL,19:45:00,19:45:00,0,1,0
NB_winter2025_MonThu_1945,SC,19:48:00,19:48:00,0,2,0
NB_winter2025_MonThu_1955,WL,19:55:00,19:55:00,0,1,0
NB_winter2025_MonThu_1955,SC,19:58:00,19:58:00,0,2,0
NB_winter2025_MonThu_2005,WL,20:05:00,20:05:00,0,1,0
NB_winter2025_MonThu_2005,SC,20:08:00,20:08:00,0,2,0
NB_winter2025_MonThu_2015,WL,20:15:00,20:15:00,0,1,0
NB_winter2025_MonThu_2015,SC,20:18:00,20:18:00,0,2,0
NB_winter2025_MonThu_2025,WL,20:25:00,20:25:00,0,1,0
NB_winter2025_MonThu_2025,SC,20:28:00,20:28:00,0,2,0
NB_winter2025_MonThu_2035,WL,20:35:00,20:35:00,0,1,0
NB_winter2025_MonThu_2035,SC,20:38:00,20:38:00,0,2,0
NB_winter2025_MonThu_2045,WL,20:45:00,20:45:00,0,1,0
NB_winter2025_MonThu_2045,SC,20:48:00,20:48:00,0,2,0
NB_winter2025_MonThu_2055,WL,20:55:00,20:55:00,0,1,0
NB_winter2025_MonThu_2055,SC,20:58:00,20:58:00,0,2,0
NB_winter2025_MonThu_2105,WL,21:05:00,21:05:00,0,1,0
NB_winter2025_MonThu_2105,SC,21:08:00,21:08:00,0,2,0
NB_winter2025_Sat_0835,WL,08:35:00,08:35:00,0,1,0
NB_winter2025_Sat_0835,SC,08:38:00,08:38:00,0,2,0
NB_winter2025_Sat_0845,WL,08:45:00,08:45:00,0,1,0
NB_winter2025_Sat_0845,SC,08:48:00,08:48:00,0,2,0
NB_winter2025_Sat_0855,WL,08:55:00,08:55:00,0,1,0
NB_winter2025_Sat_0855,SC,08:58:00,08:58:00,0,2,0
NB_winter2025_Sat_0905,WL,09:05:00,09:05:00,0,1,0
NB_winter2025_Sat_0905,SC,09:08:00,09:08:00,0,2,0
NB_winter2025_Sat_0915,WL,09:15:00,09:15:00,0,1,0
NB_winter2025_Sat_0915,SC,09:18:00,09:18:00,0,2,0
NB_winter2025_Sat_0925,WL,09:25:00,09:25:00,0,1,0
NB_winter2025_Sat_0925,SC,09:28:00,09:28:00,0,2,0
NB_winter2025_Sat_0935,WL,09:35:00,09:35:00,0,1,0
NB_winter2025_Sat_0935,SC,09:38:00,09:38:00,0,2,0
NB_winter2025_Sat_0945,WL,09:45:00,09:45:00,0,1,0
NB_winter2025_Sat_0945,SC,09:48:00,09:48:00,0,2,0
NB_winter2025_Sat_0955,WL,09:55:00,09:55:00,0,1,0
NB_winter2025_Sat_0955,SC,09:58:00,09:58:00,0,2,0
NB_winter2025_Sat_1005,WL,10:05:00,10:05:00,0,1,0
NB_winter2025_Sat_1005,SC,10:08:00,10:08:00,0,2,0
NB_winter2025_Sat_1015,WL,10:15:00,10:15:00,0,1,0
NB_winter2025_Sat_1015,SC,10:18:00,10:18:00,0,2,0
NB_winter2025_Sat_1025,WL,10:25:00,10:25:00,0,1,0
NB_winter2025_Sat_1025,SC,10:28:00,10:28:00,0,2,0
NB_winter2025_Sat_1035,WL,10:35:00,10:35:00,0,1,0
NB_winter2025_Sat_1035,SC,10:38:00,10:38:00,0,2,0
NB_winter2025_Sat_1045,WL,10:45:00,10:45:00,0,1,0
NB_winter2025_Sat_1045,SC,10:48:00,10:48:00,0,2,0
NB_winter2025_Sat_1055,WL,10:55:00,10:55:00,0,1,0
NB_winter2025_Sat_1055,SC,10:58:00,10:58:00,0,2,0
NB_winter2025_Sat_1105,WL,11:05:00,11:05:00,0,1,0
NB_winter2025_Sat_1105,SC,11:08:00,11:08:00,0,2,0
NB_winter2025_Sat_1115,WL,11:15:00,11:15:00,0,1,0
NB_winter2025_Sat_1115,SC,11:18:00,11:18:00,0,2,0
NB_winter2025_Sat_1125,WL,11:25:00,11:25:00,0,1,0
NB_winter2025_Sat_1125,SC,11:28:00,11:28:00,0,2,0
NB_winter2025_Sat_1135,WL,11:35:00,11:35:00,0,1,0
NB_winter2025_Sat_1135,SC,11:38:00,11:38:00,0,2,0
NB_winter2025_Sat_1145,WL,11:45:00,11:45:00,0,1,0
NB_winter2025_Sat_1145,SC,11:48:00,11:48:00,0,2,0
NB_winter2025_Sat_1155,WL,11:55:00,11:55:00,0,1,0
NB_winter2025_Sat_1155,SC,11:58:00,11:58:00,0,2,0
NB_winter2025_Sat_1205,WL,12:05:00,12:05:00,0,1,0
NB_winter2025_Sat_1205,SC,12:08:00,12:08:00,0,2,0
NB_winter2025_Sat_1215,WL,12:15:00,12:15:00,0,1,0
NB_winter2025_Sat_1215,SC,12:18:00,12:18:00,0,2,0
NB_winter2025_Sat_1225,WL,12:25:00,12:25:00,0,1,0
NB_winter2025_Sat_1225,SC,12:28:00,12:28:00,0,2,0
NB_winter2025_Sat_1235,WL,12:35:00,12:35:00,0,1,0
NB_winter2025_Sat_1235,SC,12:38:00,12:38:00,0,2,0
NB_winter2025_Sat_1245,WL,12:45:00,12:45:00,0,1,0
NB_winter2025_Sat_1245,SC,12:48:00,12:48:00,0,2,0
NB_winter2025_Sat_1255,WL,12:55:00,12:55:00,0,1,0
NB_winter2025_Sat_1255,SC,12:58:00,12:58:00,0,2,0
NB_winter2025_Sat_1305,WL,13:05:00,13:05:00,0,1,0
NB_winter2025_Sat_1305,SC,13:08:00,13:08:00,0,2,0
NB_winter2025_Sat_1315,WL,13:15:00,13:15:00,0,1,0
NB_winter2025_Sat_1315,SC,13:18:00,13:18:00,0,2,0
NB_winter2025_Sat_1325,WL,13:25:00,13:25:00,0,1,0
NB_winter2025_Sat_1325,SC,13:28:00,13:28:00,0,2,0
NB_winter2025_Sat_1335,WL,13:35:00,13:35:00,0,1,0
NB_winter2025_Sat_1335,SC,13:38:00,13:38:00,0,2,0
NB_winter2025_Sat_1345,WL,13:45:00,13:45:00,0,1,0
NB_winter2025_Sat_1345,SC,13:48:00,13:48:00,0,2,0
NB_winter2025_Sat_1355,WL,13:55:00,13:55:00,0,1,0
NB_winter2025_Sat_1355,SC,13:58:00,13:58:00,0,2,0
NB_winter2025_Sat_1405,WL,14:05:00,14:05:00,0,1,0
NB_winter2025_Sat_1405,SC,14:08:00,14:08:00,0,2,0
NB_winter2025_Sat_1415,WL,14:15:00,14:15:00,0,1,0
NB_winter2025_Sat_1415,SC,14:18:00,14:18:00,0,2,0
NB_winter2025_Sat_1425,WL,14:25:00,14:25:00,0,1,0
NB_winter2025_Sat_1425,SC,14:28:00,14:28:00,0,2,0
NB_winter2025_Sat_1435,WL,14:35:00,14:35:00,0,1,0
NB_winter2025_Sat_1435,SC,14:38:00,14:38:00,0,2,0
NB_winter2025_Sat_1445,WL,14:45:00,14:45:00,0,1,0
NB_winter2025_Sat_1445,SC,14:48:00,14:48:00,0,2,0
NB_winter2025_Sat_1455,WL,14:55:00,14:55:00,0,1,0
NB_winter2025_Sat_1455,SC,14:58:00,14:58:00,0,2,0
NB_winter2025_Sat_1505,WL,15:05:00,15:05:00,0,1,0
NB_winter2025_Sat_1505,SC,15:08:00,15:08:00,0,2,0
NB_winter2025_Sat_1515,WL,15:15:00,15:15:00,0,1,0
NB_winter2025_Sat_1515,SC,15:18:00,15:18:00,0,2,0
NB_winter2025_Sat_1525,WL,15:25:00,15:25:00,0,1,0
NB_winter2025_Sat_1525,SC,15:28:00,15:28:00,0,2,0
NB_winter2025_Sat_1535,WL,15:35:00,15:35:00,0,1,0
NB_winter2025_Sat_1535,SC,15:38:00,15:38:00,0,2,0
NB_winter2025_Sat_1545,WL,15:45:00,15:45:00,0,1,0
NB_winter2025_Sat_1545,SC,15:48:00,15:48:00,0,2,0
NB_winter2025_Sat_1555,WL,15:55:00,15:55:00,0,1,0
NB_winter2025_Sat_1555,SC,15:58:00,15:58:00,0,2,0
NB_winter2025_Sat_1605,WL,16:05:00,16:05:00,0,1,0
NB_winter2025_Sat_1605,SC,16:08:00,16:08:00,0,2,0
NB_winter2025_Sat_1615,WL,16:15:00,16:15:00,0,1,0
NB_winter2025_Sat_1615,SC,16:18:00,16:18:00,0,2,0
NB_winter2025_Sat_1625,WL,16:25:00,16:25:00,0,1,0
NB_winter2025_Sat_1625,SC,16:28:00,16:28:00,0,2,0
NB_winter2025_Sat_1635,WL,16:35:00,16:35:00,0,1,0
NB_winter2025_Sat_1635,SC,16:38:00,16:38:00,0,2,0
NB_winter2025_Sat_1645,WL,16:45:00,16:45:00,0,1,0
NB_winter2025_Sat_1645,SC,16:48:00,16:48:00,0,2,0
NB_winter2025_Sat_1655,WL,16:55:00,16:55:00,0,1,0
NB_winter2025_Sat_1655,SC,16:58:00,16:58:00,0,2,0
NB_winter2025_Sat_1705,WL,17:05:00,17:05:00,0,1,0
NB_winter2025_Sat_1705,SC,17:08:00,17:08:00,0,2,0
NB_winter2025_Sat_1715,WL,17:15:00,17:15:00,0,1,0
NB_winter2025_Sat_1715,SC,17:18:00,17:18:00,0,2,0
NB_winter2025_Sat_1725,WL,17:25:00,17:25:00,0,1,0
NB_winter2025_Sat_1725,SC,17:28:00,17:28:00,0,2,0
NB_winter2025_Sat_1735,WL,17:35:00,17:35:00,0,1,0
NB_winter2025_Sat_1735,SC,17:38:00,17:38:00,0,2,0
NB_winter2025_Sat_1745,WL,17:45:00,17:45:00,0,1,0
NB_winter2025_Sat_1745,SC,17:48:00,17:48:00,0,2,0
NB_winter2025_Sat_1755,WL,17:55:00,17:55:00,0,1,0
NB_winter2025_Sat_1755,SC,17:58:00,17:58:00,0,2,0
NB_winter2025_Sat_1805,WL,18:05:00,18:05:00,0,1,0
NB_winter2025_Sat_1805,SC,18:08:00,18:08:00,0,2,0
NB_winter2025_Sat_1815,WL,18:15:00,18:15:00,0,1,0
NB_winter2025_Sat_1815,SC,18:18:00,18:18:00,0,2,0
NB_winter2025_Sat_1825,WL,18:25:00,18:25:00,0,1,0
NB_winter2025_Sat_1825,SC,18:28:00,18:28:00,0,2,0
NB_winter2025_Sat_1835,WL,18:35:00,18:35:00,0,1,0
NB_winter2025_Sat_1835,SC,18:38:00,18:38:00,0,2,0
NB_winter2025_Sat_1845,WL,18:45:00,18:45:00,0,1,0
NB_winter2025_Sat_1845,SC,18:48:00,18:48:00,0,2,0
NB_winter2025_Sat_1855,WL,18:55:00,18:55:00,0,1,0
NB_winter2025_Sat_1855,SC,18:58:00,18:58:00,0,2,0
NB_winter2025_Sat_1905,WL,19:05:00,19:05:00,0,1,0
NB_winter2025_Sat_1905,SC,19:08:00,19:08:00,0,2,0
NB_winter2025_Sat_1915,WL,19:15:00,19:15:00,0,1,0
NB_winter2025_Sat_1915,SC,19:18:00,19:18:00,0,2,0
NB_winter2025_Sat_1925,WL,19:25:00,19:25:00,0,1,0
NB_winter2025_Sat_1925,SC,19:28:00,19:28:00,0,2,0
NB_winter2025_Sat_1935,WL,19:35:00,19:35:00,0,1,0
NB_winter2025_Sat_1935,SC,19:38:00,19:38:00,0,2,0
NB_winter2025_Sat_1945,WL,19:45:00,19:45:00,0,1,0
NB_winter2025_Sat_1945,SC,19:48:00,19:48:00,0,2,0
NB_winter2025_Sat_1955,WL,19:55:00,19:55:00,0,1,0
NB_winter2025_Sat_1955,SC,19:58:00,19:58:00,0,2,0
NB_winter2025_Sat_2005,WL,20:05:00,20:05:00,0,1,0
NB_winter2025_Sat_2005,SC,20:08:00,20:08:00,0,2,0
NB_winter2025_Sat_2015,WL,20:15:00,20:15:00,0,1,0
NB_winter2025_Sat_2015,SC,20:18:00,20:18:00,0,2,0
NB_winter2025_Sat_2025,WL,20:25:00,20:25:00,0,1,0
NB_winter2025_Sat_2025,SC,20:28:00,20:28:00,0,2,0
NB_winter2025_Sat_2035,WL,20:35:00,20:35:00,0,1,0
NB_winter2025_Sat_2035,SC,20:38:00,20:38:00,0,2,0
NB_winter2025_Sat_2045,WL,20:45:00,20:45:00,0,1,0
NB_winter2025_Sat_2045,SC,20:48:00,20:48:00,0,2,0
NB_winter2025_Sat_2055,WL,20:55:00,20:55:00,0,1,0
NB_winter2025_Sat_2055,SC,20:58:00,20:58:00,0,2,0
NB_winter2025_Sat_2105,WL,21:05:00,21:05:00,0,1,0
NB_winter2025_Sat_2105,SC,21:08:00,21:08:00,0,2,0
NB_winter2025_Sat_2115,WL,21:15:00,21:15:00,0,1,0
NB_winter2025_Sat_2115,SC,21:18:00,21:18:00,0,2,0
NB_winter2025_Sat_2125,WL,21:25:00,21:25:00,0,1,0
NB_winter2025_Sat_2125,SC,21:28:00,21:28:00,0,2,0
NB_winter2025_Sat_2135,WL,21:35:00,21:35:00,0,1,0
NB_winter2025_Sat_2135,SC,21:38:00,21:38:00,0,2,0
